ID,Name,Family,Era,Intent,Keywords,Typography,Color And Surface,Motion And Depth,Best Fit,Accessibility Notes,Anti-Patterns,Sources,Status,Verified At
bauhaus,Bauhaus,Modernist,1919-1933,"Unite art craft and technology through functional form","bauhaus geometric circle square triangle workshop primary color mass production","Geometric sans; modular display; clear hierarchy","Red yellow blue black white; honest material; flat fields","Measured transitions; geometric layers only when they clarify structure","Systems; education; cultural institutions; product tools","Keep geometric decoration subordinate to labels and controls; verify contrast","Primary shapes used as decoration without grid or function","https://www.metmuseum.org/essays/the-bauhaus-1919-1933|https://www.getty.edu/research/exhibitions_events/exhibitions/bauhaus/new_artist/history/principles_curriculum","active",2026-08-27
swiss-international,Swiss International Typographic Style,Modernist,1950s-1960s,"Communicate objectively through grid and typography","swiss international typographic grid asymmetric flush left ragged right helvetica photography","Neo-grotesk sans; strong scale; flush-left rag","Black white and one accent; generous white space; photography","Precise alignment; restrained transition; no decorative drift","Information systems; editorial; wayfinding; dashboards","Use source order that matches visual grid and keep text readable at zoom","Rigid grid copied without hierarchy or meaningful content","https://www.nngroup.com/articles/f-shaped-pattern-reading-web-content/|https://www.aboutswitzerland.eda.admin.ch/en/swiss-style-forever-the-story-of-a-graphic-design-tradition","active",2026-08-27
constructivism,Constructivism,Avant Garde,1915-1935,"Create urgency through geometry and collective action","constructivism soviet red black diagonal industrial propaganda photomontage","Bold condensed sans; diagonal type; strong numeral labels","Red black cream; hard fields; paper and print texture","Diagonal movement and clipped planes; keep actions stable","Activism; culture; editorial; experimental portfolios","Use readable body type and never let diagonal placement break focus order","Propaganda symbols used without context|illegible diagonal copy","https://www.tate.org.uk/art/art-terms/c/constructivism|https://www.moma.org/collection/terms/constructivism","active",2026-08-27
art-nouveau,Art Nouveau,Decorative Modern,1890s-1910s,"Connect organic ornament with craft and natural form","art nouveau floral organic whiplash line stained glass ornament alphonse mucha","Humanist serif; custom display; flowing terminals","Earth tones, jewel colors, botanical linework, paper and stained glass","Slow curved reveals; layered botanical depth without blocking content","Hospitality; beauty; culture; botanical and craft brands","Provide plain text alongside ornate display and protect focus visibility","Floral frame around every component|ornament over functional labels","https://www.vam.ac.uk/articles/an-introduction-to-art-nouveau|https://www.metmuseum.org/toah/hd/artn/hd_artn.htm","active",2026-08-27
art-deco,Art Deco,Decorative Modern,1910s-1930s,"Express luxury and mechanized modernity through geometry","art deco geometric luxury chevron sunburst stepped gold black gatsby","Geometric display; high contrast serif or sans; all caps used sparingly","Black ivory gold bronze jewel tones; symmetrical metallic accents","Symmetric reveal; controlled vertical scale; no constant shimmer","Luxury; hospitality; fashion; entertainment","Keep gold and low-light combinations contrast-safe and labels unornamented","Gold gradient everywhere|faux Gatsby theme|ornament hiding price or action","https://www.vam.ac.uk/articles/an-introduction-to-art-deco|https://www.britannica.com/art/Art-Deco","active",2026-08-27
mid-century-modern,Mid-Century Modern,Modernist,1940s-1960s,"Make modern living approachable through clean organic form","mid century modern warm wood starburst organic furniture american modern","Humanist sans; geometric display; relaxed spacing","Warm wood orange mustard olive teal cream; matte surfaces","Soft slide and object placement; light depth from material blocks","Furniture; home; lifestyle; hospitality","Do not reduce readable text size to preserve a poster composition","Starbursts and wood texture used as a generic retro skin","https://www.moma.org/collection/terms/mid-century-modern|https://www.vam.ac.uk/articles/what-is-mid-century-modern-design","active",2026-08-27
brutalism,Brutalism,Anti Decorative,1950s-1970s,"Expose structure and material rather than hide it","brutalism raw concrete structure rectilinear exposed function institutional","System sans or mono; abrupt hierarchy; utilitarian labels","Concrete gray black white brick; raw surfaces","Hard state changes; structural movement; no ornamental easing","Cultural institutions; statements; experimental portfolios","Use readable contrast and preserve familiar controls despite raw surfaces","Concrete texture applied to checkout or forms without purpose","https://www.tate.org.uk/art/art-terms/b/brutalism|https://www.britannica.com/technology/brutalism","active",2026-08-27
punk-zine,Punk Zine And Xerox,Counterculture,1970s-1980s,"Signal dissent through low-fi collage and independent publishing","punk zine xerox photocopy ransom note cut paste diy collage","Typewriter, condensed sans, ransom lettering, mixed scale","Black white photocopy; red marker; paper fibers and ink","Cut and paste transitions; use texture as bounded media layer","Music; activism; independent publishing; subculture","Never use distorted type for essential instructions; provide clean text equivalents","Unreadable ransom text|scanned text without OCR|copying a specific band's identity","https://www.vam.ac.uk/articles/the-punk-generation|https://www.moma.org/collection/terms/punk","active",2026-08-27
grunge,Grunge,Counterculture,1990s,"Reject polished digital surfaces through distressed print language","grunge distressed texture alternative music torn paper dirty type","Distressed display with legible sans body; irregular baseline","Black gray rust red cream; photocopy and torn paper","Rough image transitions; stop texture from moving continuously","Music; fashion; youth culture; portfolios","Keep body text clean and test contrast over distress textures","Noise on all text|fake distress hiding hierarchy|slow filter stacks","https://www.aiga.org/resources/grunge-graphic-design|https://www.vam.ac.uk/articles/the-punk-generation","active",2026-08-27
psychedelia,Psychedelia,Counterculture,1960s,"Create altered perception and collective energy","psychedelic swirling saturated concert poster melted type counterculture","Custom display only for short text; readable sans for detail","Hot magenta acid green violet cyan orange; vibrating contrast","Flowing type or color movement only in bounded hero moments","Music; nightlife; festival; campaign","Avoid low-contrast moving text and provide reduced-motion static framing","Wavy body copy|unreadable contrast|constant distortion","https://www.si.edu/stories/psychedelic-posters|https://www.loc.gov/item/2014635335/","active",2026-08-27
