ID,Name,Family,Intent,Keywords,Primary Content Fit,Responsive Notes,Accessibility Notes,Implementation Notes,Anti-Patterns,Sources,Status,Verified At
single-column,Single Column,Linear,"Keep one reading or task path clear","single column linear article form docs focused mobile","Articles|Docs|Forms|Landing|Portfolio","Naturally reflows; cap text width and preserve spacing at zoom","Strong source order; use headings, landmarks, and skip links","Use normal flow with a readable max width","Wall of text without headings|overly narrow content","https://www.w3.org/WAI/GL/low-vision-a11y-tf/wiki/Reflow_to_Single_Column|https://www.w3.org/WAI/tutorials/page-structure/","active",2026-08-27
f-pattern,F Pattern,Scanning,"Support efficient scanning of text-heavy content","f pattern scan text documentation search results headings","Docs|News|Search Results|Listings","Stack to a priority order on mobile; front-load useful words","Do not rely on left position alone; use headings and descriptive links","Format content with headings, lists, bold signal, and concise paragraphs","Unformatted wall of text|important content only on right","https://www.nngroup.com/articles/f-shaped-pattern-reading-web-content/|https://www.nngroup.com/articles/text-scanning-patterns-eyetracking/","active",2026-08-27
z-pattern,Z Pattern,Scanning,"Guide a low-density page from message to action","z pattern landing page diagonal scan hero cta","Landing|Campaign|Brochure","Collapse to explicit top-to-bottom priority on mobile","Make the action a real control and do not encode meaning in position","Use a clear grid or flex layout and strong heading hierarchy","Decorative diagonal path without readable order|multiple primary actions","https://www.nngroup.com/articles/f-shaped-pattern-reading-web-content/|https://www.w3.org/WAI/tutorials/page-structure/","active",2026-08-27
twelve-column-grid,12 Column Grid,Grid,"Create repeatable alignment and responsive composition","12 column grid css grid system gutters layout","Marketing|Editorial|Dashboard|Product","Reflow tracks with minmax and container queries; avoid fixed widths","Keep DOM order aligned with visual order and maintain focus sequence","Use CSS Grid tracks and named areas where useful","Line placement that reorders content|fixed container overflow","https://developer.mozilla.org/en-US/docs/Web/CSS/CSS_grid_layout|https://www.w3.org/WAI/standards-guidelines/wcag/","active",2026-08-27
asymmetric-grid,Asymmetric Grid,Grid,"Use unequal spatial weight to establish hierarchy","asymmetric grid editorial portfolio varied spans visual weight","Portfolio|Editorial|Marketing","Simplify to one or two columns on narrow widths and remove fragile overlap","Keep source order and focus order predictable; protect text contrast","Use explicit spans and test long content","Asymmetry without reading priority|clipped focus|empty decorative cells","https://developer.mozilla.org/en-US/docs/Web/CSS/CSS_grid_layout|https://www.w3.org/WAI/WCAG22/Understanding/focus-order.html","active",2026-08-27
broken-grid,Broken Grid,Art Directed Grid,"Subvert alignment for a deliberate brand or editorial moment","broken grid overlap post grid art directed misalignment","Campaign|Portfolio|Cultural Site","Reset overlap and negative margins on small screens","Do not use visual overlap to hide required content or alter logical order","Use CSS Grid and z-index with an explicit mobile fallback","Broken grid as default product shell|overflow|focus hidden behind layer","https://developer.mozilla.org/en-US/docs/Web/CSS/CSS_grid_layout|https://www.w3.org/WAI/WCAG22/Understanding/focus-not-obscured-minimum.html","active",2026-08-27
bento,Bento Grid,Modular,"Package varied related content in modular cells","bento grid modular tiles feature cards product overview apple","Feature Matrix|SaaS|Marketing|Dashboard","Stack tiles or use container queries; preserve hero before supports","Keep DOM reading order and keyboard order meaningful","Use grid template areas, aspect ratio, and reserved media space","Identical rounded cards|bento for dense tables|visual order mismatch","https://developer.mozilla.org/en-US/docs/Web/CSS/CSS_grid_layout|https://www.w3.org/WAI/standards-guidelines/wcag/","active",2026-08-27
faceted-discovery,Faceted Discovery,Search Structure,"Let people narrow a large set by independent meaningful attributes","faceted discovery search filters taxonomy browse category price location metadata","Directory|Marketplace|Commerce|Archive","Use a filter disclosure and applied-filter summary on mobile; keep query and result count visible","Label each facet, announce result changes, offer clear-all, and do not use color-only selected state","Use URL state when shareable and stable result identity","irrelevant facets|filter state hidden|no-results dead end","https://www.nngroup.com/articles/faceted-search/|https://www.w3.org/WAI/tutorials/forms/","active",2026-08-27
masonry,Masonry,Variable Height,"Show variable-height visual items as a dense collection","masonry waterfall pinterest gallery variable height images","Gallery|Inspiration|Archive|Mixed Cards","Use native grid lanes when supported or a fallback that keeps order clear","Ensure DOM and focus sequence remain understandable; provide pagination or load more","Use CSS grid lanes with a documented fallback or ordered columns","Masonry for pricing or comparison|infinite load without control|visual order mismatch","https://developer.mozilla.org/en-US/docs/Web/CSS/CSS_grid_layout/Masonry_layout|https://www.w3.org/WAI/tutorials/page-structure/","active",2026-08-27
cards,Card Collection,Collection,"Group self-contained browsing choices","cards card grid product media directory team dashboard","Product Lists|Media|Directory|Features","Use responsive minmax and one clear action per card","Give each card a heading, named action, and result context","Use list or region semantics and stable media aspect ratio","Card wrapper around every row|multiple competing actions|hover-only detail","https://uxpatterns.dev/pattern-guide/table-vs-list-vs-cards|https://www.w3.org/WAI/standards-guidelines/wcag/","active",2026-08-27
