ID,Name,Family,Era,Intent,Keywords,Primary Pages,Primary Structures,Responsive Notes,Accessibility Notes,Anti-Patterns,Sources,Status,Verified At
brochure,Brochure Website,Marketing,1990s-present,"Explain a small organization and create contact intent","brochure business services about contact local business","Home|Services|About|Contact|Policies","Single Column|Split Screen|Full Bleed Hero","Keep the service and contact path visible on narrow screens; remove decorative columns first","Use semantic headings, descriptive contact links, meaningful image alternatives, and no contact action that depends on hover","Vague service copy|hidden contact route|large unoptimized hero media","https://crocoblock.com/blog/most-popular-website-types|https://www.w3.org/WAI/tutorials/page-structure/","active",2026-08-27
marketing-landing,Marketing Landing Page,Marketing,2000s-present,"Validate one campaign promise and complete one conversion action","landing campaign conversion hero offer signup cta","Landing|FAQ|Thank You","Z Pattern|Full Bleed Hero|Single Column","Match the landing promise on mobile; keep one primary action in thumb reach","Give the page a meaningful title, labelled form controls, errors near fields, and a keyboard path","multiple competing offers|navigation leakage|unlabelled form","https://unbounce.com/landing-page-examples|https://www.w3.org/WAI/tutorials/forms/","active",2026-08-27
saas,SaaS Product Website,Software,2000s-present,"Evaluate a product and start a trial or demo","saas software product led growth trial demo integrations pricing","Home|Features|Pricing|Use Cases|Customers|Docs|Security|Trial","Z Pattern|Bento|Split Screen|Dashboard Grid","Stack product value before secondary proof on mobile; keep pricing and trial action reachable","Expose product claims as text, label controls, provide accessible signup, and do not hide security information in imagery","generic screenshot wall|invented proof|pricing hidden behind a contact form","https://www.nngroup.com/articles/web-ux-study-guide/|https://www.w3.org/WAI/standards-guidelines/wcag/","active",2026-08-27
ecommerce,E-commerce Store,Commerce,1990s-present,"Discover a product, assess it, purchase it, and track delivery","ecommerce shop retail catalog product detail cart checkout variants reviews","Home|Category|Product List|Product Detail|Cart|Checkout|Account|Policies","Grid|Cards|Sticky Rail|Comparison Table","Recompose filters, product media, and checkout for touch; avoid forcing a wide table on mobile","Label variants and forms, expose stock and errors in text, support keyboard checkout, and provide image alternatives","forced account|hidden delivery cost|hover-only product information","https://baymard.com/research|https://www.w3.org/WAI/tutorials/forms/","active",2026-08-27
marketplace,Marketplace,Commerce,2000s-present,"Match buyers and sellers while establishing two-sided trust","marketplace multi-vendor seller buyer listings trust reviews dispute","Home|Browse|Listing|Seller Storefront|Cart|Checkout|Orders|Disputes","Faceted Discovery|Map List Split|Cards|Split Screen","Keep filters, seller identity, price, and primary action usable in one mobile flow","Expose seller, condition, price, shipping, and status as text; label sponsored placement and review controls","unmarked sponsored listings|split checkout confusion|seller trust hidden","https://baymard.com/ux-benchmark/collections/marketplace|https://www.w3.org/WAI/standards-guidelines/wcag/","active",2026-08-27
portfolio,Portfolio,Professional,1990s-present,"Show judgment and relevant work and create an inquiry","portfolio work case study designer photographer developer cv resume","Home|Work|Case Study|About|Services|Resume|Contact","Editorial Spread|Asymmetric Grid|Cards|Single Column","Use one featured work path on mobile and preserve captions before decorative image depth","Give projects headings and image alternatives, keep contact controls keyboard reachable, and preserve reading order","unexplained gallery|uniform project dump|slow unlabelled media","https://www.nngroup.com/articles/ux-design-portfolios|https://www.w3.org/WAI/tutorials/images/","active",2026-08-27
agency,Agency Website,Professional,1990s-present,"Establish team capability and win a project inquiry","agency studio services case studies process team capabilities","Home|Services|Work|Process|Team|Insights|Contact","Asymmetric Grid|Bento|Editorial Spread|Split Screen","Put service, work, and inquiry routes in the first mobile sequence","Use real case-study text, accessible navigation, labelled brief forms, and no team information only in video","generic service claims|case studies without client context|effect-first navigation","https://www.nngroup.com/articles/ux-design-portfolios|https://www.w3.org/WAI/tutorials/forms/","active",2026-08-27
blog,Blog,Publishing,1990s-present,"Find, read, subscribe, and return to authored content","blog article author category tag newsletter search","Home|Article|Category|Tag|Author|Search|Newsletter|About","Single Column|Sticky Rail|Cards|Timeline","Keep article text first and make related content secondary on narrow screens","Use article semantics, headings, skip links, readable line length, alt text, and descriptive links","wall of text|unclear authorship|auto-playing media","https://www.nngroup.com/articles/f-shaped-pattern-reading-web-content|https://www.w3.org/WAI/tutorials/page-structure/","active",2026-08-27
editorial-magazine,Editorial Magazine,Publishing,1900s-present,"Discover and read a curated mix of long-form stories","magazine editorial issue culture feature photo essay archive subscription","Cover|Section|Article|Photo Essay|Author|Archive|Subscription","Editorial Spread|Scrollytelling|Masonry|Full Bleed Hero","Collapse print overlaps into a readable sequence on mobile; keep captions with media","Use article and figure semantics, maintain contrast over images, and provide a static scrollytelling path","large type over unreadable images|thin content dressed as editorial|unbounded animation","https://www.nngroup.com/articles/f-shaped-pattern-reading-web-content|https://www.w3.org/WAI/tutorials/images/","active",2026-08-27
news,News Website,Publishing,1990s-present,"Scan current headlines and read or follow updates quickly","news breaking live blog headlines sections alerts archive","Home|Section|Article|Live Blog|Video|Newsletter|Archive","F Pattern|Cards|Lists|Timeline|Sticky Rail","Prioritize headline, time, section, and text on mobile; avoid blocking alerts","Mark updates with text and time, provide pause controls for moving content, and keep article order logical","breaking news hidden below ads|auto-refresh without status|cluttered right rail","https://www.nngroup.com/articles/web-ux-study-guide/|https://www.w3.org/WAI/tutorials/carousels/","active",2026-08-27
docs-knowledge-base,Documentation Knowledge Base,Support,1990s-present,"Find a reliable answer and continue to the next task","docs documentation help center knowledge base api reference search troubleshooting","Home|Collection|Article|API Reference|FAQ|Release Notes|Support","Single Column|Sticky Rail|Tree Navigation|Search Results","Keep search and current section available on small screens; collapse secondary navigation","Use heading hierarchy, code alternatives, searchable labels, skip links, and clear no-results guidance","hidden search|deep unlabelled tree|screenshots without text","https://www.w3.org/WAI/tutorials/page-structure/|https://design-system.service.gov.uk/","active",2026-08-27
dashboard-analytics,Dashboard Analytics,Software,2000s-present,"Monitor metrics, understand change, and take an operational action","dashboard analytics metrics kpi monitoring reporting data visualization","Overview|Detail|Reports|Alerts|Filters|Settings","Dashboard Grid|Bento|Table|Sticky Rail","Keep the key metric order stable on mobile; move secondary charts below summaries","Give charts a text or table equivalent, label filters and status, and expose exact values on focus or tap","decorative chart wall|color-only status|unbounded data table","https://www.nngroup.com/articles/dashboards-preattentive|https://www.w3.org/WAI/tutorials/tables/","active",2026-08-27
admin-console,Admin Console,Software,2000s-present,"Configure a system safely and inspect state","admin console settings permissions users audit logs configuration","Overview|Resources|Users|Roles|Audit Log|Settings","Dashboard Grid|Holy Grail|Lists|Table","Use a compact desktop shell but stack controls and tables on mobile","Use landmarks, confirmation for destructive actions, clear status, and keyboard-reachable filters","hidden destructive action|dense unlabeled table|navigation inside canvas","https://www.w3.org/WAI/tutorials/page-structure/|https://www.w3.org/WAI/ARIA/apg/","active",2026-08-27
social-community,Social Community,Community,2000s-present,"Lurk, contribute, follow people, and build belonging","social community feed profile follow reactions notifications moderation","Feed|Profile|Post|Search|Notifications|Messages|Moderation","Infinite Feed|Cards|Lists|Timeline","Keep post actions and identity visible on mobile; load more must be explicit","Announce feed updates carefully, label reaction controls, provide moderation alternatives, and support keyboard posting","unbounded autoplay feed|ambiguous moderation state|engagement bait as primary hierarchy","https://www.w3.org/WAI/standards-guidelines/aria/|https://www.nngroup.com/articles/web-ux-study-guide/","active",2026-08-27
forum,Forum,Community,1990s-present,"Ask, answer, search, and moderate threaded discussion","forum discussion thread reply tags categories reputation moderation","Home|Category|Thread|Member|Search|Rules|Moderation","Lists|Timeline|Tree Navigation|Sticky Rail","Keep thread title, author, activity, and reply action visible on mobile","Use heading and list semantics, label reply and moderation actions, and do not rely on color for unread state","flat unsearchable feed|thread depth without context|hidden report action","https://www.w3.org/WAI/tutorials/page-structure/|https://www.w3.org/WAI/standards-guidelines/aria/","active",2026-08-27
